八大处公园,name,八大处公园
八大处公园,location,北京市西郊西山风景区南麓
八大处公园,grade,国家AAAA级旅游区
八大处公园,built,隋末唐初
八角寨,nickname,云台山
白草畔,name,白草畔
白草畔,location,北京
北宫国家森林公园,area,914.5公顷
北宫国家森林公园,name,北宫国家森林公园
北宫国家森林公园,location,北京市丰台区
北宫国家森林公园,case,山合欢、旱榆、火炬树
北海公园,englishname,Beihai Park
北海公园,name,北海公园
北海公园,location,北京市中心区
北海公园,grade,国家AAAA级
北京动物园,built,1906年
北京动物园,case,450余种，海洋馆500余种
北京动物园,area,86公顷
北京动物园,englishname,Beijing Zoo
北京动物园,name,北京动物园
北京动物园,location,北京市西城区西直门外大街137号
北京动物园,collect,大量难得一见的国内外珍稀动物
北京动物园,type,动物园
北京动物园,form,事业
北京动物园,scale,中国第一大动物园
北京故宫博物院,built,1925年10月10日
北京故宫博物院,englishname,the Palace Museum
北京故宫博物院,name,北京故宫博物院
北京故宫博物院,location,中国北京
北京故宫博物院,type,综合性博物馆
北京欢乐谷,built,2006年7月
北京欢乐谷,area,56万平方米
北京欢乐谷,englishname,Happy Valley of Beijing
北京欢乐谷,name,北京欢乐谷
北京欢乐谷,location,北京市朝阳区东四环四方桥东南角
北京欢乐谷,ecase,极速飞车、太阳神车、水晶神翼等
北京欢乐谷,type,游乐园
北京首云铁矿,work,1114人（2009年）
北京首云铁矿,built,1959年
北京首云铁矿,mlocation,北京
北京首云铁矿,form,国有
北京首云铁矿,name,首云矿业股份有限公司
北京首云铁矿,product,铁精粉
北京植物园,case,10000余种（含品种）150余万株
北京植物园,built,1956年
北京植物园,area,400公顷
北京植物园,grade,AAAA级旅游景区
北京植物园,englishname,Beijing Botanical Garden
北京植物园,location,北京市海淀区
北京植物园,name,北京植物园
北京植物园,wtime,夏：6:00 -- 20:00 冬：7:30 -- 17:00
北京植物园,type,自然展览馆
被遗弃的秘密,location,横店影视城
伯远帖,collect,北京故宫博物院
不咸山,nickname,长白山
藏心术,location,横店影视城
承德避暑山庄,name,承德避暑山庄
承德避暑山庄,location,承德市
承德避暑山庄,grade,国家5A级旅游景区
承德避暑山庄,location,河北省承德市北部
承德避暑山庄,type,河北省承德市北部
承德避暑山庄,built,一七零三年
传宋李唐文姬归汉图,collect,故宫
春帖子词,collect,故宫博物院
大葆台西汉墓,near,世界公园
刁蛮俏御医,location,横店影视城
东方明珠广播电视塔,area,1500平方米
东方明珠广播电视塔,englishname,The Oriental Pearl TV Tower Of Shanghai
东方明珠广播电视塔,name,东方明珠广播电视塔
东方明珠广播电视塔,名人,设计师江欢成
东方明珠广播电视塔,location,中国上海
都江堰,englishname,Dujiang yan
都江堰,name,都江堰
都江堰,built,公元前256年
都江堰,建造人物,李冰父子
都江堰,location,四川省成都市都江堰市灌口镇
奉化,englishname,FengHua
奉化,气候条件,北亚热带季风气候区
奉化,人口,常住人口48.35万（2010年）
奉化,name,奉化
奉化,火车站,奉化火车站
奉化,area,陆地1268平方公里海域96平方公里
奉化,type,市辖县(县级市)
奉化,名人,王羲之、蒋介石、蔡启元等
奉化,方言,吴语宁波话
奉化,车牌代码,浙B
奉化,location,浙东
佛道茶艺,location,五台山
浮丘山,别称,南山
鼓浪屿,grade,AAAAA
鼓浪屿,englishname,Kulangsu
鼓浪屿,location,福建省厦门岛西南隅
鼓浪屿,name,鼓浪屿
鼓浪屿,门票价格,免费
鼓浪屿,wtime,全天开放
故宫,built,1395年
故宫,grade,AAAAA
故宫,englishname,Nanjing Ming Palace Ruins Park
故宫,name,北京故宫博物院
故宫,location,北京市东城区景山前街4号
故宫,name,南京明故宫遗址公园
故宫,location,南京市玄武区中山东路311号
故宫,collect,清明上河图，金瓯永固杯，平复帖
故宫,wtime,全天
故宫,门票价格,旺季60元，淡季40元
故宫,wtime,旺季8:30-16:10; 淡季8:30-15:40
故宫,type,遗址公园
故宫博物院,built,1925年10月10日
故宫博物院,藏品数量,60万件
故宫博物院,englishname,Taipei's National Palace Museum
故宫博物院,name,北京故宫博物院
故宫博物院,collect,散氏盘、快雪时晴帖等
故宫博物院,name,台北故宫博物院
故宫博物院,location,台湾台北士林区外双溪
故宫博物院,type,综合性博物馆
官式古建筑营造技艺,申报单位,故宫博物院
光熙峰,location,普陀山
桂林漓江风景区,type,风景区
桂林漓江风景区,机场,桂林机场
桂林漓江风景区,name,桂林漓江风景区
郭沫若行书七言自作诗,collect,故宫
国家森林公园,最早森林公园,张家界国家森林公园
国子监,englishname,Imperial Academy
国子监,location,北京国子监街、南京成贤街
国子监,type,北京、南京
国子监,built,公元1306年
国子监,name,国子监
国子监,location,中国华北、中国华东
国子监,nickname,中央官学
海棠社,mlocation,大观园
海棠诗社,mlocation,大观园
何贤公园,nickname,香山公园
横店影视城,built,1996年
横店影视城,name,横店影视城
横店影视城,经营理念,影视为表、旅游为里，文化为魂
横店影视城,下辖地区,浙江东阳市
横店影视城,location,浙江中部东阳市境内
华山,englishname,Mount Hua
华山,type,国家级风景名胜区
华山,name,华山
华山,location,陕西省渭南华阴市
化城寺,location,九华山
画云台山记,name,云台山
欢乐谷,name,北京欢乐谷
皇城相府,wtime,2011年2月22日
皇城相府,area,3.6万平方米
皇城相府,气候条件,半干旱大陆性季风气候
皇城相府,grade,国家AAAAA级景区
皇城相府,name,皇城相府
皇城相府,location,晋城市北留镇境内
皇城相府,type,山西省东南部
皇城相府,nickname,午亭山村
皇城相府,location,中国西北
黄帝问道广成子,location,崆峒山
黄果树瀑布,实际高度,高77.8米，宽101米
黄果树瀑布,name,黄果树瀑布
黄果树瀑布,所属地形,喀斯特地形地区
黄果树瀑布,当地特产,蜡染，刺绣，黄果
黄果树瀑布,瀑布类型,侵蚀裂典型瀑布
黄果树瀑布,主要景区,天然盆景区，天星洞，水上石林区
黄鹤楼,wtime,1985年6月重建开放
黄鹤楼,englishname,Yellow Crane Tower
黄鹤楼,type,古楼
黄鹤楼,location,湖北武汉蛇山
黄鹤楼,name,黄鹤楼
黄鹤楼,built,始建于三国时期，1981年重建
黄鹤楼,誉称,“天下江山第一楼”
黄山,电话区号,559
黄山,邮政编码,242700
黄山,邮政区码,245000
黄山,行政区划代码,341000
黄山,人口,135.90万（2010年）
黄山,下辖地区,3个市辖区、4个县和黄山风景区
黄山,area,9807平方千米
黄山,nickname,coser黄山
黄山,englishname,Huangshan
黄山,location,安徽省南部黄山市，中国华东
黄山,经纬度,北纬30.18°、东经118.14°
黄山,type,地级市
黄山,name,黄山
黄山,市树市花市鸟,黄山松，黄山杜鹃，红嘴相思鸟
黄山,机场,黄山屯溪机场
黄山,火车站,黄山站
黄山,方言,徽语，又称“徽州话”
黄山,nickname,徽州
黄山,友好城市,丽江，张家界，开普敦、因特拉肯
黄山,景区四绝,奇松，怪石，云海，温泉
黄山,政府驻地,屯溪区天都大道
黄山,车牌代码,皖J
黄山,气候条件,温暖湿润、典型的江南气候
黄山,荣誉,中国公众最向往的旅游城市
黄山,location,中国华东，安徽省境内
黄山温泉,location,黄山
汇泉公园,nickname,中山公园
火线追凶,location,横店影视城
鸡冠洞,海拔,1021米
鸡冠洞,深度,5600米
鸡冠洞,拼音,jian guan dong
鸡冠洞,location,河南洛阳栾川县城西3公里
鸡冠洞,name,鸡冠洞
鸡冠洞,特点,山势雄伟，孤峰卓立
嘉峪关,电话区号,937
嘉峪关,行政区划代码,620200
嘉峪关,邮政区码,735100
嘉峪关,人口,23万（2010年）
嘉峪关,area,2935平方千米
嘉峪关,englishname,Jiayuguan City
嘉峪关,type,地级市
嘉峪关,车牌代码,甘B
嘉峪关,location,甘肃嘉峪关市向西5公里
嘉峪关,name,嘉峪关
嘉峪关,机场,嘉峪关机场
嘉峪关,name,嘉峪关市
嘉峪关,火车站,嘉峪关站
嘉峪关,方言,酒泉话、东北方言
嘉峪关,built,明洪武五年（公元1372年）
嘉峪关,别称,天下第一雄关
嘉峪关,气候条件,温带大陆性荒漠气候
嘉峪关,下辖地区,峪泉镇、文殊镇、新城镇
嘉峪关,location,中国西北
鲒埼亭,location,奉化
京东大溶洞,area,20平方公里
京东大溶洞,门票,65元（学生及老人33元）
京东大溶洞,wtime,8：00——18：30
京东大溶洞,grade,国家AAAA级
京东大溶洞,name,京东大溶洞
京东大溶洞,location,中国北京
井冈山,englishname,Jinggangshan
井冈山,location,江西省西南部
井冈山,name,井冈山
井冈山,最高海拔,南风屏海拔2120米
镜泊湖,area,90平方公里
镜泊湖,englishname,Jingpohu
镜泊湖,location,黑龙江省牡丹江市
镜泊湖,name,镜泊湖
镜泊湖,交通,牡丹江海浪机场
镜泊湖,location,牡丹江市东南部
镜泊湖,特产,响水大米（国宴用米）、湖鲫
镜泊湖毛公山,location,镜泊湖
究竟定：清宫藏密瑜伽修行宝典,作者,故宫博物院
九华山茶,产地,九华山
九华山肉身菩萨,location,九华山
九寨沟,电话区号,837
九寨沟,area,62k㎡
九寨沟,englishname,Jiuzhaigou
九寨沟,车牌代码,川U
九寨沟,特色,翠海、叠海、彩林、雪山、藏情
九寨沟,grade,国家AAAAA级旅游景区
九寨沟,name,九寨沟
九寨沟县,name,九寨沟
酒泉钢铁（集团）有限责任公司,mlocation,嘉峪关
居庸关长城,距北京市,60千米
居庸关长城,location,昌平县城以北20千米的峡谷中
居庸关长城,荣誉,国家AAAA级景区
居庸关长城,name,居庸关长城
捐献大家孙瀛州,作者,故宫博物院
君山岛,area,0.96平方公里
君山岛,平均海拔,55m
君山岛,name,君山岛
君山岛,古称,有缘山
喀纳斯湖,平均水深,120米
喀纳斯湖,area,45.73平方公里
喀纳斯湖,蓄水量,53.8亿立方米
喀纳斯湖,荣誉称号,国家5A级旅游景区
喀纳斯湖,name,喀纳斯湖
喀纳斯湖,机场,喀纳斯机场
喀纳斯湖,location,新疆阿勒泰布尔津县
康西草原,name,康西草原
康西草原,area,三万多亩
康西草原,location,延庆县康庄镇八达岭长城西侧
康小伟,毕业院校,横店影视城
康晓飞,经纪公司,横店影视城
崆峒镇,名胜,崆峒山
匡裕,出生地,庐山
榔梅,分布区域,武当山
崂山,englishname,Mount Laoshan
崂山,name,崂山
崂山刻石,又名,崂山
老虎滩,nickname,老虎滩海洋公园
乐山大佛景区,世界遗产,1996年12月
乐山大佛景区,englishname,The Leshan Giant Buddha
乐山大佛景区,name,乐山大佛
乐山大佛景区,location,四川省乐山市中区凌云山
李霖灿,职业,故宫博物院
丽江古城,电话区号,888
丽江古城,邮政区码,674100
丽江古城,englishname,The Old Town of Lijiang
丽江古城,nickname,大研古城
丽江古城,name,丽江古城
丽江古城,火车站,丽江火车站
丽江古城,机场,丽江机场
丽江古城,location,云南省
丽江我行我宿客栈,mlocation,丽江古城
练霓裳,出生地,华山
灵山大佛,area,30公顷
灵山大佛,grade,5A级景区
灵山大佛,佛体,79m
灵山大佛,高,88m
灵山大佛,莲花瓣,9m
灵山大佛,location,江苏省无锡市滨湖区马山灵山路
灵山大佛,name,灵山大佛
灵山大佛,nickname,小灵山
灵隐景区,周边景区,西湖
刘公岛,海岸线,14.95公里
刘公岛,area,3.15平方公里
刘公岛,name,刘公岛
刘公岛,location,威海
龙宫风景区,area,60平方公里
龙宫风景区,grade,国家AAAAA级旅游景区
龙宫风景区,name,龙宫
龙宫风景区,大自然奇迹,全国最长、最美丽的水溶洞
龙宫风景区,中心景区,水、旱溶洞90余个
龙宫风景区,四大景区,中心、漩塘、油菜湖、仙人箐
龙虎山,电话区号,701
龙虎山,邮政区码,335402
龙虎山,人口,120万
龙虎山,area,220平方公里
龙虎山,location,江西省鹰潭市的龙虎山风景名胜区
龙虎山,name,龙虎山
龙虎山,下辖地区,鹰潭市
龙虎山,location,中国 江西省
龙虎宗,name,龙虎山
庐山,englishname,Mount. Lu
庐山,location,江西省九江市
庐山,荣誉,列入《世界遗产名录》
庐山,name,庐山国家公园
庐山神仙会,location,庐山
鹿鼎记,导演,华山
蟒山国家森林公园,森林覆盖率,86.50%
蟒山国家森林公园,location,北京市昌平县东北部
蟒山国家森林公园,name,蟒山国家森林公园
蟒山国家森林公园,类型,森林公园
梅林归鹤,location,西湖
明城墙遗址公园,占地,3.3公顷
明城墙遗址公园,全长,40公里
明城墙遗址公园,name,明城墙遗址公园
明城墙遗址公园,始建,明永乐17年
